trade_id,timestamp,counterparty,instrument,amount_usd,status,settlement_days,hour_of_day
TRD103138,2026-04-16 12:51:24.354177,Neal Group,COMMODITY,24155.3,PENDING,1,12
TRD103887,2026-04-16 13:38:04.360220,West-Martin,BOND,21566.69,SETTLED,2,13
TRD104254,2026-04-16 14:03:53.363260,Brown-Ramos,FX,3942.59,SETTLED,2,14
TRD103618,2026-04-16 15:06:50.358094,Mccormick-Ewing,COMMODITY,133853.09,SETTLED,2,15
TRD104039,2026-04-16 15:13:29.361426,"Cummings, Wood and Savage",EQUITY,12467.32,CANCELLED,3,15
TRD101380,2026-04-16 16:00:44.337917,"Garrison, Hernandez and Rogers",DERIVATIVE,17247.72,FAILED,1,16
TRD104363,2026-04-16 16:20:52.364797,Castillo LLC,BOND,358371.54,CANCELLED,2,16
TRD104644,2026-04-16 17:26:40.367345,Brown-Ramos,COMMODITY,8301.12,SETTLED,2,17
TRD100050,2026-04-16 17:51:25.324242,"Glenn, Thomas and Mcpherson",DERIVATIVE,1482.6,SETTLED,1,17
TRD100192,2026-04-16 18:48:43.325372,"Pittman, Perez and Smith",COMMODITY,3258.56,SETTLED,2,18
TRD103368,2026-04-16 19:12:47.355994,Brown-Morris,BOND,21462.16,SETTLED,2,19
TRD102127,2026-04-16 19:30:47.343958,Brown-Ramos,FX,10728.06,SETTLED,3,19
TRD104144,2026-04-16 19:33:33.362252,"Duncan, Cox and Wilson",FX,3788.38,SETTLED,0,19
TRD102305,2026-04-16 20:04:27.345368,Brown-Morris,COMMODITY,8790.32,SETTLED,0,20
TRD104923,2026-04-16 20:19:16.369752,Crane-Shields,COMMODITY,11182.39,FAILED,2,20
TRD103459,2026-04-16 20:41:21.356709,Brown-Ramos,FX,66244.73,SETTLED,1,20
TRD101585,2026-04-16 22:26:54.339630,West-Martin,BOND,2604.78,SETTLED,2,22
TRD104751,2026-04-16 23:06:54.368276,Pineda LLC,BOND,10003.49,SETTLED,0,23
